iter	Passed	Remaining
413	2118	2998
414	2122	2991
415	2124	2982
416	2126	2973
417	2128	2963
418	2130	2954
419	2132	2944
420	2137	2939
421	2140	2931
422	2141	2921
423	2143	2912
424	2145	2903
425	2150	2897
426	2154	2890
427	2156	2882
428	2158	2873
429	2160	2864
430	2165	2858
431	2168	2850
432	2171	2843
433	2173	2834
434	2175	2826
435	2187	2829
436	2190	2821
437	2192	2813
438	2197	2807
439	2200	2800
440	2202	2791
441	2203	2782
442	2205	2773
443	2212	2771
444	2215	2762
445	2217	2754
446	2220	2746
447	2227	2744
448	2230	2737
449	2232	2729
450	2243	2731
451	2249	2727
452	2260	2729
453	2263	2721
454	2272	2721
455	2275	2714
456	2278	2707
457	2281	2699
458	2286	2695
459	2290	2689
460	2293	2681
461	2296	2674
462	2301	2669
463	2305	2663
464	2310	2658
465	2312	2650
466	2318	2646
467	2322	2639
468	2324	2631
469	2327	2624
470	2334	2621
471	2337	2614
472	2339	2607
473	2342	2599
474	2352	2599
475	2364	2603
476	2367	2596
477	2370	2589
478	2377	2585
479	2381	2580
480	2384	2573
481	2388	2566
482	2394	2563
483	2397	2556
484	2400	2549
485	2407	2545
486	2410	2538
487	2412	2531
488	2415	2523
489	2417	2516
490	2425	2514
491	2428	2507
492	2431	2500
493	2433	2492
494	2438	2487
495	2441	2480
496	2445	2474
497	2452	2472
498	2455	2465
499	2458	2458
500	2461	2452
501	2466	2446
502	2469	2439
503	2472	2432
504	2474	2425
505	2479	2421
506	2482	2414
507	2485	2406
508	2488	2400
509	2494	2396
510	2498	2390
511	2500	2383
512	2503	2376
513	2507	2371
514	2510	2364
515	2513	2357
516	2516	2350
517	2518	2343
518	2523	2339
519	2527	2332
520	2529	2325
521	2532	2319
522	2538	2315
523	2541	2308
524	2543	2301
525	2546	2294
526	2551	2289
527	2554	2283
528	2555	2275
529	2557	2268
530	2559	2261
531	2561	2253
532	2565	2248
533	2569	2241
534	2571	2234
535	2574	2228
536	2576	2221
537	2581	2216
538	2584	2210
539	2587	2203
540	2589	2196
541	2591	2189
542	2595	2184
543	2598	2178
544	2600	2171
545	2602	2163
546	2604	2156
547	2606	2149
548	2610	2144
549	2613	2138
550	2615	2131
551	2617	2124
552	2619	2117
553	2624	2112
554	2626	2106
555	2628	2099
556	2630	2092
557	2632	2085
558	2634	2078
559	2638	2073
560	2642	2067
561	2644	2060
562	2646	2054
563	2649	2047
564	2653	2042
565	2655	2036
566	2658	2029
567	2659	2023
568	2661	2016
569	2663	2009
570	2668	2004
571	2671	1998
572	2673	1992
573	2675	1985
574	2677	1978
575	2679	1972
576	2684	1967
577	2686	1961
578	2688	1954
579	2690	1948
580	2692	1941
581	2694	1935
582	2698	1929
583	2701	1924
584	2702	1917
585	2704	1910
586	2706	1904
587	2709	1898
588	2711	1892
589	2713	1885
590	2715	1879
591	2717	1872
592	2724	1870
593	2728	1864
594	2731	1859
595	2736	1854
596	2738	1848
597	2740	1842
598	2742	1836
599	2744	1829
600	2747	1823
601	2751	1819
602	2753	1812
603	2755	1806
604	2757	1800
605	2759	1794
606	2761	1788
607	2766	1783
608	2768	1777
609	2770	1771
610	2772	1765
611	2774	1759
612	2778	1753
613	2781	1748
614	2783	1742
615	2785	1736
616	2787	1730
617	2789	1724
618	2793	1719
619	2795	1713
620	2797	1707
621	2799	1701
622	2802	1695
623	2804	1689
624	2808	1685
625	2811	1679
626	2813	1673
627	2816	1668
628	2818	1662
629	2823	1658
630	2826	1652
631	2827	1646
632	2829	1640
633	2831	1634
634	2833	1628
635	2837	1623
636	2839	1618
637	2841	1612
638	2843	1606
639	2845	1600
640	2851	1596
641	2854	1591
642	2857	1586
643	2860	1581
644	2863	1575
645	2866	1570
646	2868	1565
647	2870	1559
648	2873	1554
649	2875	1548
650	2879	1543
651	2882	1538
652	2884	1532
653	2886	1526
654	2888	1521
655	2890	1515
656	2895	1511
657	2897	1506
658	2899	1500
659	2901	1494
660	2903	1489
661	2905	1483
662	2910	1479
663	2912	1473
664	2915	1468
665	2917	1463
666	2919	1457
667	2922	1452
668	2924	1446
669	2926	1441
